# &quot;Colorado Average Temperature&quot;
# Units: Degrees Fahrenheit
Date,Value
202301,23.6
202302,24.9
202303,30.4
202304,41.2
202305,54.4
202306,59.9
202307,69.4
202308,67.7
202309,60.5
202310,47.8
202311,37
202312,30.3
202401,24.6
202402,32.1
202403,36.2
202404,45.3
202405,51.4
202406,66.8
202407,68.3
202408,67.9
202409,61.7
202410,52.7
202411,33.1
202412,32
202501,20.3
202502,29.9
202503,39.4
202504,44.2
202505,52.5
202506,64.4
202507,69
202508,67.4
202509,59.3
202510,49.6
202511,40.8
202512,35.4
202601,28.8
202602,36.6
202603,46.8
202604,45.9
202605,53.4
202606,65.6
202607,71.9
